# eboot 1.07 translation table, generated by build_eboot107.py
0x811f86e8	Free Reco Session
0x81203e44	30: Mariana Priscilla's Theme
0x81203e78	31: Sorimachi Riko's Theme
0x81203e98	32: Misaki Nagisa's Theme
0x81203eb8	33: Naruse Mahiro's Theme
0x81203ed8	34: Himeragi Rinze's Theme
0x81203ef8	35: Aida Miyuri's Theme
0x81203f18	36: Uchima Yuko's Theme
0x81203f38	37: Onmyoji Uchimain Yuko's Theme
0x81203f64	38: Mana's Theme
0x81203f7c	39: Yuina's Theme
0x81203f94	40: Ms. Isuzu Kokomi's Theme
0x81203fbc	41: Doumoto Seiya's Theme
0x81203fdc	42: E-Movie Club's Theme
0x81203ffc	43: Abumi Tama's Theme
0x8120401c	44: Title ~ Blue Ocean
0x8120403c	45: Title ~ Gold Beach
0x8120405c	46: No BGM
0x8120421c	30: Sagara Miu's Theme
0x8120423c	44: Title ~ Gold Beach
0x8120425c	45: Title ~ Blue Ocean
0x81204400	%s / %s
0x81204514	Doumoto Seiya
0x81204524	Mail List
0x81204534	Today
0x8120453c	%dd ago
0x81204548	Inbox
0x81204554	%d unread
0x8120456c	Play sent movie
0x81204608	Unlocks
0x81204620	C-Movie Club
0x81204634	E-Movie Club
0x81204644	Mission List
0x8120465c	Rewards
0x81204670	%d missions to next reward
0x8120469c	Club Missions
0x812047f0	> %s
0x8120480c	?
0x81204868	Smile - Pattern 1
0x81204884	Smile - Pattern 2
0x812048a0	Smile - Pattern 3
0x812048bc	Smile - Pattern 4
0x812048d8	Smile - Pattern 5
0x812048f4	Smile - Pattern 6
0x81204910	Smile - Pattern 7
0x8120492c	Smile - Pattern 8
0x81204948	Shy Smile - Pattern 1
0x81204968	Shy Smile - Pattern 2
0x81204988	Shy Smile - Pattern 3
0x812049a8	Sexy Smile - Pattern 1
0x812049d0	Sexy Smile - Pattern 2
0x812049f8	Sexy Smile - Pattern 3
0x81204a20	Embarrassed - Pattern 1
0x81204a3c	Embarrassed - Pattern 2
0x81204a58	Embarrassed - Pattern 3
0x81204a74	Embarrassed - Pattern 4
0x81204a90	Reluctant - Pattern 1
0x81204aac	Reluctant - Pattern 2
0x81204ac8	Reluctant - Pattern 3
0x81204ae4	Reluctant - Pattern 4
0x81204b00	Angry - Pattern 1
0x81204b1c	Angry - Pattern 2
0x81204b38	Angry - Pattern 3
0x81204b54	Angry - Pattern 4
0x81204b70	Exasperated - Pattern 1
0x81204b90	Exasperated - Pattern 2
0x81204bb0	Surprised - Pattern 1
0x81204bcc	Surprised - Pattern 2
0x81204be8	Surprised - Pattern 3
0x81204c04	Surprised - Pattern 4
0x81204c20	Breathing - Pattern 1
0x81204c38	Breathing - Pattern 2
0x81204c50	Breathing - Pattern 3
0x81204c68	Breathing - Pattern 4
0x81204c80	Encouraging - Pattern 1
0x81204c9c	Encouraging - Pattern 2
0x81204cb8	Encouraging - Pattern 3
0x81204cd4	Encouraging - Pattern 4
0x81204cf0	Encouraging - Pattern 5
0x81204d0c	Encouraging - Pattern 6
0x81204d28	Teasing - Pattern 1
0x81204d48	Teasing - Pattern 2
0x81204d68	Teasing - Pattern 3
0x81204d88	Teasing - Pattern 4
0x81204da8	Teasing - Pattern 5
0x81204dc8	Teasing - Pattern 6
0x81204fc4	Eyes: Look Here
0x81204fe0	Eyes: Look Away
0x81204ff8	 Face: This Way
0x81205014	 Face: Away
0x812050b4	Push-Ups
0x812050c8	Stand Light
0x812050e0	Handy Light
0x8120525c	Outline
0x81205274	Straight Move
0x81205290	Perspective Master
0x812052a8	Max Perspective
0x812052b8	King Time
0x81205398	Change Mode
0x812053a8	Camera Menu
0x812053c0	Move Up
0x812053cc	Move Down
0x812053d8	Change Lock Pos
0x812053f0	Move
0x81205408	Lock View
0x81205418	Move Speed
0x8120542c	Approach
0x8120543c	Approach Menu
0x81205458	Move View
0x81205468	System Menu
0x81205484	Zoom In
0x81205494	Zoom Out
0x812054a8	Change Persp.
0x812054b8	Photo Button
0x812054cc	Action Menu (Free only)
0x81205500	Tripod Mode ON/OFF
0x81205518	Start/Stop Rec
0x8120552c	Move Up/Down
0x8120553c	Persp./Bank
0x81205558	Persp./Bank Toggle
0x81205578	----
0x8120591a	*CSmooth Talker
0x8120592c	Raises the success rate when you choose REC during a Bound-Up Talk.
0x81205990	Popular
0x8120599c	Raises the chance of meeting a heroine on the way to school.
0x812059dc	Angel Power Plus
0x81205a00	Increases the maximum Angel Power.
0x81205a3c	Talk Tips
0x81205a4c	Fewer conversations are needed to raise your Bound Level.
0x81205aa4	Power Shot
0x81205abc	Increases My Pack movement during topic charging in Bound-Up Talks.
0x81205b20	Bold Heart
0x81205b30	Lowers the chance of being refused when choosing a pose in a Reco Session.
0x81205b94	Angel Charge Plus
0x81205bc4	Increases the daily Angel Power recovery amount.
0x81205c08	Half Shy
0x81205c20	When Doki-Doki Hearts increase, the gain is halved.
0x81205c78	Exam Mastery
0x81205c88	Makes it easier to pass the weekend exam.
0x81205cc4	Angel Healing
0x81205cd4	Adds "Angel Power Recovery" to the effects of Love Hack.
0x81205d30	Confirms your selection.
0x81205d50	Lets you walk without shaking during a Reco Session.
0x81205d98	Hyper Zoom
0x81205db0	Increases the zoom distance.
0x81205de8	Widens the perspective range in a Reco Session.
0x81205e34	Speed Star
0x81205e4c	Widens the movement speed range in a Reco Session.
0x81205e9c	More Session
0x81205eb4	Adds two more shots per Reco Session.
0x81205ef4	High Angler
0x81205f0c	Lets you record movies from an even higher position.
0x81205f64	Lets you fine-tune perspective during a Reco Session.
0x81205fbc	Colorful World
0x81205fd8	Adds more color lens types for changing the tint of a movie.
0x81206044	Low Angler
0x8120605c	Lets you record movies from an even lower position.
0x812060b8	Lets you ask her to hold a gesture during a Reco Session.
0x81206108	Dawn Reco Session
0x81206124	Adds "Morning" to the Free Reco Session time slots.
0x8120617c	Night Reco Session
0x8120619c	Adds "Late Night" to the Free Reco Session time slots.
0x812061f4	Secret Reco Session
0x81206214	Adds "Hallway" and "Terrace" to Free Reco Session backgrounds.
0x81206278	More Sensual
0x81206290	Increases the expressions in Free Reco Session.
0x812062e0	Tan Maniac
0x812062f4	Adds "Tanned" to the Free Reco Session skin status.
0x81206358	Lover's Whisper
0x81206368	Lets you set the system voice.
0x812063a8	Wet Maniac
0x812063b8	Adds "Wet" to the Free Reco Session skin status.
0x8120641c	Talk Mastery
0x8120642c	Lets you choose "Talk Master" in personality selection.
0x81206484	Secret Reco Session 2
0x812064a8	Adds "Large Bath", "Own Room" and "Girl's Room" to Free Reco backgrounds.
0x81206524	Risky Swimsuit
0x81206534	Adds the "Cute Swimsuit" to Free Reco Session outfits.
0x8120659c	Unlocked by your total Free Reco Session score.
0x812065ec	Adds the "Eros Swimsuit" to Free Reco Session outfits.
0x812077c4	%s / %s / %dPts / Prologue / %s
0x812077ec	%s / %s / %dPts / Ending / %s
0x81207818	%s / %s / %dPts / Day %d / %s
0x81207844	This is movie data.
0x812078bc	Home
0x812078c4	School
0x812078cc	Break1
0x812078d4	Lunch
0x812078e0	Break2
0x812078e8	After Class
0x812078f4	Eve
0x81207908	Time: %02d:%02d:%02d\n%s%s%s\nDay %d/%s/%s\nName: %s %s
0x81207a30	Movie Data 1
0x81207a48	Movie Data 2
0x81207a60	Movie Data 3
0x81207a78	Movie Data 4
0x81207a90	Movie Data 5
0x81207aa8	Movie Data 6
0x81207ac0	Movie Data 7
0x81207ad8	Movie Data 8
0x81207af0	Movie Data 9
0x81207b08	Movie Data 10
0x81207b20	Movie Data 11
0x81207b38	Movie Data 12
0x81207b50	Movie Data 13
0x81207b68	Movie Data 14
0x81207b80	Movie Data 15
0x81207b98	Movie Data 16
0x81207bb0	Movie Data 17
0x81207bc8	Movie Data 18
0x81207be0	Movie Data 19
0x81207bf8	Movie Data 20
0x81207c10	Movie Data 21
0x81207c28	Movie Data 22
0x81207c40	Movie Data 23
0x81207c58	Movie Data 24
0x81207c70	Movie Data 25
0x81207c88	Movie Data 26
0x81207ca0	Movie Data 27
0x81207cb8	Movie Data 28
0x81207cd0	Movie Data 29
0x81207ce8	Movie Data 30
0x81207d00	Movie Data 31
0x81207d18	Movie Data 32
0x81207d30	Movie Data 33
0x81207d48	Movie Data 34
0x81207d60	Movie Data 35
0x81207d78	Movie Data 36
0x81207d90	Movie Data 37
0x81207da8	Movie Data 38
0x81207dc0	Movie Data 39
0x81207dd8	Movie Data 40
0x81207df0	Movie Data 41
0x81207e08	Movie Data 42
0x81207e20	Movie Data 43
0x81207e38	Movie Data 44
0x81207e50	Movie Data 45
0x81207e68	Movie Data 46
0x81207e80	Movie Data 47
0x81207e98	Movie Data 48
0x81207eb0	Movie Data 49
0x81207ec8	Movie Data 50
0x81207ee0	Movie Data 51
0x81207ef8	Movie Data 52
0x81207f10	Movie Data 53
0x81207f28	Movie Data 54
0x81207f40	Movie Data 55
0x81207f58	Movie Data 56
0x81207f70	Movie Data 57
0x81207f88	Movie Data 58
0x81207fa0	Movie Data 59
0x81207fb8	Movie Data 60
0x81207fd0	Movie Data 61
0x81207fe8	Movie Data 62
0x81208000	Movie Data 63
0x81208018	Movie Data 64
0x81208030	Movie Data 65
0x81208048	Movie Data 66
0x81208060	Movie Data 67
0x81208078	Movie Data 68
0x81208090	Movie Data 69
0x812080a8	Movie Data 70
0x812080c0	Movie Data 71
0x812080d8	Movie Data 72
0x812080f0	Movie Data 73
0x81208108	Movie Data 74
0x81208120	Movie Data 75
0x81208138	Movie Data 76
0x81208150	Movie Data 77
0x81208168	Movie Data 78
0x81208180	Movie Data 79
0x81208198	Movie Data 80
0x812081b0	Movie Data 81
0x812081c8	Movie Data 82
0x812081e0	Movie Data 83
0x812081f8	Movie Data 84
0x81208210	Movie Data 85
0x81208228	Movie Data 86
0x81208240	Movie Data 87
0x81208258	Movie Data 88
0x81208270	Movie Data 89
0x81208288	Movie Data 90
0x812082a0	Movie Data 91
0x812082b8	Movie Data 92
0x812082d0	Movie Data 93
0x812082e8	Movie Data 94
0x81208300	Movie Data 95
0x81208318	Movie Data 96
0x81208330	Movie Data 97
0x81208348	Movie Data 98
0x81208360	Album Data 1
0x81208378	Album Data 2
0x81208390	Album Data 3
0x812083a8	Album Data 4
0x812083c0	Album Data 5
0x812083d8	Album Data 6
0x812083f0	Niimi Haruka
0x81208400	Muroto Aki
0x81208410	Hayakura Mai
0x81208420	Mihara Hisato
0x81208430	Masaki Nonoka
0x81208440	Yunoki Rina
0x81208450	Fukakado Tomoe
0x81208460	Kanon
0x81208468	Otani Momoko
0x81208480	This is system data.
0x812084a4	This game supports auto-save.
0x812084e8	While auto-saving, do not turn off the system
0x81208528	or quit the game.
0x8120855c	This game uses a large amount of save data,
0x812085a8	so for comfortable play we
0x812085d0	recommend a memory card of 4 GB or more.
0x81208620	This game must save both the save data
0x8120866c	and the movie data.
0x81208694	If saving is interrupted, the data may not
0x812086dc	be written correctly and may be corrupted.
0x8120871c	Please be careful.
0x81208738	Saving system data.
0x8120876c	Do not turn off the system
0x81208790	Loading system data.
0x812087c4	Checking system data.
0x812087fc	System data loaded.
0x81208830	No system data found.
0x8120885c	Start the game anyway?
0x8120888c	Loading package common data.
0x812088cc	Checking package common data.
0x8120890c	Package common data loaded.
0x81208948	No package common data found.
0x8120897c	Loading movie data.
0x812089b0	The system data may not have been
0x812089e4	saved correctly.
0x81208a0c	Load failed.
0x81208a30	The package common data may not have been
0x81208a70	The save data may not have been
0x81208aa4	Checking movie data.
0x81208adc	Movie data check failed.
0x81208b1c	Saving movie data.
0x81208b50	Movie data will be saved.
0x81208b80	Are you sure?
0x81208b9c	Save data will be saved.
0x81208bc8	Creating movie data...
0x81208bec	Checking album data.
0x81208c20	Saving album data.
0x81208c54	Album data saved.
0x81208c88	Reading movie data.
0x81208cbc	Reading thumbnail data.
0x81208cf4	Reading movie image data.
0x81208d30	No movie data found.
0x81208d5c	Failed to read the movie data.
0x81208d9c	The movie data may not have been saved
0x81208ddc	correctly.
0x81208df8	Aborting.
0x81208e14	Show this movie?
0x81208e3c	This movie has already been shown.
0x81208e6c	Cannot be used.
0x81208e88	Quit the album?
0x81208eb0	No more movies can be saved.
0x81208ee8	To save a new one you must delete a movie.
0x81208f24	Delete one now?
0x81208f58	The movie cannot be saved.
0x81208f80	The save data and movie data do not match.
0x81208fc4	Deleting every movie recorded so far
0x81209004	will allow saving. Delete them all?
0x8120903c	will allow loading. Delete them all?
0x81209074	All movies deleted.
0x8120909c	Saving will continue.
0x812090bc	The movie data may not have been saved correctly
0x81209114	Initialize? (If you do, every movie used
0x81209154	by any save data will be erased.)
0x812091ac	The album data may not have been
0x812091e8	saved correctly. Initialize?
0x81209220	(If you do, the movies will be erased.)
0x81209264	Initializing movie data.
0x81209298	Initializing album data.
0x812092cc	Initializing system data.
0x81209300	Movie data initialized.
0x81209334	Album data initialized.
0x81209368	System data initialized.
0x8120939c	Failed to initialize the data.
0x812093cc	Try again?
0x812093ec	Quit saving?
0x81209410	Quit loading?
0x81209434	Quit loading
0x8120945c	movie data?
0x81209474	Delete this movie?
0x812094ac	Deleting the movie.
0x812094d4	Movie deleted.
0x812094fc	The selected movie data is protected.
0x8120953c	To delete it, remove the protection
0x81209570	first.
0x8120958c	Protected photo data has reached
0x812095b4	50 items.
0x812095d4	To protect new movie data,
0x8120960c	remove some protection.
0x81209634	Save the current movie to the
0x81209664	gallery?
0x8120967c	Overwrite the gallery
0x8120969c	data?
0x812096b8	Save the data to the
0x812096d8	All Photo Kano Kiss data will be deleted.
0x81209714	Deleting all data...
0x81209730	All data deleted.
0x81209754	No save data found.
0x8120977c	Save the movie data?
0x812097ac	Play the movie data?
0x812097dc	This movie data cannot be played.
0x81209948	Save Data
0x812099b8	System Data
0x812099d8	Movie Data
0x81209b1c	Reco Love Blue Ocean
0x81209b34	Reco Love Gold Beach
0x81209b4c	Reco Love Blue Ocean system data.
0x81209b88	Reco Love Gold Beach system data.
0x81209bc4	Reco Love Blue Ocean screenshot
0x81209c00	Reco Love Gold Beach screenshot
0x81209d08	Delete this save data?\nIf you delete the movie data, the photos registered in the game save data will be lost.\nIf the save is large, this may take tens of minutes.
0x81209e04	Checking game data.
0x8120a01c	Reco Love
0x8120a064	Save failed.\nNot enough free space. Saving needs at least %d KB more.
0x8120a0f4	Failed to save the album data.\nNot enough free space. Saving needs at least %d KB more.
0x8120a19c	Failed to save the album data.\nAborting the save.\n\nNot enough free space. Saving needs at least %d KB more.\n\nFree up space, then save to the album again.
0x8120a2c0	Save failed.\nNo memory card inserted.\nSaving needs at least %d KB of free space.
0x8120a358	Sleep mode was entered,\nso the process was interrupted.
0x8120a3dc	Save failed.\nCancel the save?
0x8120a420	Load failed.\nCancel the load?
0x8120a464	Cancel the deletion?
0x8120a484	Deletion failed.\nAborting.
0x8120a4c0	Initialization failed.\nCancel it?
0x8120a504	Initialization failed.\nAborting.
0x8120a544	Failed to save the album data.\nAborting the current process.
0x8120a5a4	Load failed.\nAborting the current process.
0x8120a5ec	Failed to load the system data.\nAborting the current process.
0x8120a64c	Save failed.\nCancel the save?\n\nIf you cancel without saving the photo data,\nthe photo data may not load correctly\nnext time.
0x8120a744	Delete data to free up space?
0x8120a778	Delete data to free up space?\nChoosing "Yes" deletes the data, then returns to the menu.\nChoosing "No" returns to the menu as is.
0x8120a894	Save the photo?
0x8120a8b4	Quit saving photos?
0x8120af08	Sagara Miu
0x8120af18	Toyama Nao
0x8120af28	Mariana Priscilla
0x8120af4c	Shimamura Yu
0x8120af5c	Heroine in Love
0x8120af78	 Lyrics: Sugiyama Ichirou
0x8120af9c	 Music: Iwadare Noriyuki
0x8120afb8	 Vocals: Sagara Miu (Toyama Nao)
0x8120afec	Big Bang Love
0x8120b008	 Vocals: Mariana Priscilla (Shimamura Yu)
0x8120b048	Friend < Lover
0x8120b064	 Vocals: Sorimachi Riko (Ueda Kana)
0x8120b0b0	 Vocals: Misaki Nagisa (M.A.O)
0x8120b0e4	Ambush Love Time
0x8120b108	 Vocals: Naruse Mahiro (Uchida Maaya)
0x8120b13c	After School, at Dusk
0x8120b15c	 Vocals: Himeragi Rinze (Ishikawa Yui)
0x8120b190	All-Out Cheerleading
0x8120b1b8	 Vocals: Aida Miyuri (Suwa Ayaka)
0x8120b1ec	Beloved One
0x8120b208	 Vocals: Uchima Yuko (Takagaki Ayahi)
0x8120b23c	Love Chuuni-ing
0x8120b258	 Vocals: Mana (Iguchi Yuka)
0x8120b280	Imagination Love
0x8120b2a8	 Vocals: Yuina (Kakuma Ai)
0x8120b2d0	Lulu-Lala Sunday
0x8120b2ec	 Vocals: Isuzu Kokomi (Omigawa Chiaki)
0x8122d454	DBAS create error
